Transaction ID,Date,Amount,Category,Description
101,2024-02-01,5000.0,Salary,Monthly Salary
102,2024-02-05,250.0,Groceries,Walmart Purchase
103,2024-02-07,75.0,Transport,Gas Station
104,2024-02-07,75.0,Transport,Gas Station
105,2024-02-10,-200.0,Entertainment,Spotify Subscription
106,2024-02-12,300.0,Shopping,Amazon Order
107,2024-02-15,1000.0,Rent,Monthly Rent Payment
108,2024-02-18,150.0,Utilities,Electricity Bill
109,2024-02-20,,Groceries,Kroger Purchase
110,2024-02-22,450.0,Travel,Flight Ticket
111,2024-02-25,99999.0,Electronics,New Laptop
112,2024-02-28,300.0,Shopping,Amazon Order
200,2024-02-11,-5000.0,Salary,
201,2024-02-23,9999.0,Groceries,Overcharged
202,2024-02-20,-5000.0,Transport,Duplicate Entry
203,2024-02-06,9999.0,Groceries,Overcharged
204,2024-02-18,15000.0,Groceries,Overcharged
205,2024-02-19,-999.0,Salary,
206,2024-02-16,-200.0,Salary,Duplicate Entry
207,2024-02-05,-200.0,Utilities,
208,2024-02-06,-5000.0,Utilities,Duplicate Entry
209,2024-02-22,-200.0,Utilities,Duplicate Entry
